E,Arrest,01/31/18. 12:30 PM.,DRUG/NARCOTIC VIOLATIONS 3542,Details
F,Robbery,01/31/18. 01:43 AM.,ROBBERY 1206,Details
G,Vandalism,01/31/18. 05:33 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2903,Details
H,Other,01/31/18. 10:01 PM.,LIQUOR LAW VIOLATION 4103,Details
I,Theft,01/31/18. 03:18 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
J,Burglary,01/31/18. 12:30 PM.,BURGLARY/BREAKING & ENTERING 2202,Details
K,Assault,01/31/18. 05:39 PM.,SIMPLE ASSAULT 1313,Details
L,Theft,01/31/18. 06:01 PM.,ALL OTHER LARCENY 2399,Details
M,Theft,01/31/18. 06:03 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
N,Theft,01/31/18. 12:37 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
O,Assault,01/31/18. 01:43 AM.,SIMPLE ASSAULT 1313,Details
A,Other,01/30/18. 12:19 PM.,ALL OTHER 7372,Details
B,Theft,01/30/18. 12:00 PM.,IDENTITY THEFT FRAUD 2609,Details
C,Other,01/30/18. 02:14 PM.,ALL OTHER 5012,Details
D,Theft,01/30/18. 05:18 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
E,Arrest,01/30/18. 01:57 PM.,DRUG/NARCOTIC VIOLATIONS 3562,Details
F,Theft,01/30/18. 02:36 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
G,Theft,01/30/18. 12:30 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
H,Theft,01/30/18. 03:07 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
I,Theft,01/30/18. 03:48 PM.,IDENTITY THEFT FRAUD 2610,Details
J,Theft,01/30/18. 03:15 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
A,Theft,01/29/18. 05:42 AM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2602,Details
B,Theft,01/29/18. 11:59 AM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
C,Theft,01/29/18. 07:00 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
D,Theft,01/29/18. 01:30 PM.,IDENTITY THEFT FRAUD 2609,Details
E,Theft,01/29/18. 05:08 PM.,SHOPLIFTING 3074,Details
F,Theft,01/29/18. 01:00 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
G,Theft,01/29/18. 03:19 PM.,SHOPLIFTING 3074,Details
H,Theft,01/29/18. 11:16 AM.,SHOPLIFTING 3073,Details
I,Other,01/29/18. 09:30 PM.,TRESPASS OF REAL PROPERTY 5707,Details
J,Theft,01/29/18. 01:49 PM.,STOLEN PROPERTY 2805,Details
K,Vandalism,01/29/18. 04:03 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2999,Details
